Dependency,Ecosystem,Category,Repos Using,What It Does,Used In
plug_static_index_html,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
pluggy,py,Misc & Everything Else,1.0,,cashubtc/cashu-ui
pluralize,js,Misc & Everything Else,1.0,,andotherstuff/universes-legacy
poison,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
poolboy,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
postcard,rust,Misc & Everything Else,1.0,,marmot-protocol/mdk
postcss-focus-visible,js,Misc & Everything Else,1.0,,cashubtc/docs.cashu.space
postgrex,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
pot,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
prettier-plugin-jsdoc,js,Dev Environment & Tooling,1.0,,cashubtc/cashu-ts
prettier-plugin-tailwindcss,js,Dev Environment & Tooling,1.0,,cashubtc/docs.cashu.space
prismjs,js,Misc & Everything Else,1.0,,soapbox-pub/shakespeare
prom_ex,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
prometheus_ecto,elixir,Monitoring & Observability,1.0,,soapbox-pub/rebased
prometheus_phoenix,elixir,Monitoring & Observability,1.0,,soapbox-pub/rebased
prometheus_plugs,elixir,Monitoring & Observability,1.0,,soapbox-pub/rebased
propshaft,ruby,Misc & Everything Else,1.0,,marmot-protocol/botburrow
prost-build,rust,Frameworks & Libraries,1.0,,andotherstuff/binostr
prost-types,rust,Frameworks & Libraries,1.0,,marmot-protocol/proton-beam
protobuf,py,Misc & Everything Else,1.0,,cashubtc/nutshell
provider,dart,Frameworks & Libraries,1.0,,cashubtc/cdk-flutter
puma,ruby,Misc & Everything Else,1.0,,marmot-protocol/botburrow
punycode,js,Frameworks & Libraries,1.0,,soapbox-pub/soapbox
py,py,Misc & Everything Else,1.0,,cashubtc/cashu-ui
pycryptodomex,py,Misc & Everything Else,1.0,,cashubtc/nutshell
pyinstaller,py,Misc & Everything Else,1.0,,cashubtc/cashu-ui
pyinstaller-hooks-contrib,py,Misc & Everything Else,1.0,,cashubtc/cashu-ui
pyjwt,py,Misc & Everything Else,1.0,,cashubtc/nutshell
pyparsing,py,Misc & Everything Else,1.0,,cashubtc/cashu-ui
PyQt6,py,Misc & Everything Else,1.0,,cashubtc/cashu-ui
pyqt6,py,Misc & Everything Else,1.0,,cashubtc/cashu-ui
pyqt6-qt6,py,Misc & Everything Else,1.0,,cashubtc/cashu-ui
pyqt6-sip,py,Misc & Everything Else,1.0,,cashubtc/cashu-ui
pytest,py,Testing & QA,1.0,,cashubtc/cashu-ui
pytest-asyncio,py,Testing & QA,1.0,,cashubtc/cashu-ui
python-bitcoinlib,py,Misc & Everything Else,1.0,,cashubtc/cashu-ui
pywin32-ctypes,py,Misc & Everything Else,1.0,,cashubtc/cashu-ui
qr-code-styling,js,Misc & Everything Else,1.0,,cashubtc/orchard
qr-scanner,js,Misc & Everything Else,1.0,,cashubtc/cashu.me
qr_flutter,dart,Misc & Everything Else,1.0,,marmot-protocol/whitenoise
quasar,js,Misc & Everything Else,1.0,,cashubtc/cashu.me
r2d2,rust,Misc & Everything Else,1.0,,andotherstuff/nostr-rs-relay
r2d2_sqlite,rust,Misc & Everything Else,1.0,,andotherstuff/nostr-rs-relay
radix-ui,js,Misc & Everything Else,1.0,,marmot-protocol/marmots-web-chat
rails,ruby,Misc & Everything Else,1.0,,marmot-protocol/botburrow
ratatui,rust,Misc & Everything Else,1.0,,marmot-protocol/wn-tui
ratatui-image,rust,Misc & Everything Else,1.0,,marmot-protocol/wn-tui
react-big-calendar,js,Misc & Everything Else,1.0,,cashubtc/docs.cashu.space
react-blurhash,js,Misc & Everything Else,1.0,,soapbox-pub/ditto
react-color,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
react-confetti-explosion,js,Misc & Everything Else,1.0,,cashubtc/npubcash-website
react-easy-crop,js,Misc & Everything Else,1.0,,soapbox-pub/ditto
react-helmet,js,Frameworks & Libraries,1.0,,soapbox-pub/soapbox
react-icons,js,Frameworks & Libraries,1.0,,cashubtc/npubcash-website
react-inlinesvg,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
react-intl,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
react-motion,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
react-native,js,Misc & Everything Else,1.0,,cashubtc/eNuts
react-native-gesture-handler,js,Misc & Everything Else,1.0,,cashubtc/eNuts
react-native-onboarding-swiper,js,Misc & Everything Else,1.0,,cashubtc/eNuts
react-native-popup-menu,js,Misc & Everything Else,1.0,,cashubtc/eNuts
react-native-qrcode-svg,js,Misc & Everything Else,1.0,,cashubtc/eNuts
react-native-reanimated,js,Misc & Everything Else,1.0,,cashubtc/eNuts
react-native-safe-area-context,js,Misc & Everything Else,1.0,,cashubtc/eNuts
react-native-screens,js,Misc & Everything Else,1.0,,cashubtc/eNuts
react-native-size-matters,js,Misc & Everything Else,1.0,,cashubtc/eNuts
react-native-svg,js,Misc & Everything Else,1.0,,cashubtc/eNuts
react-overlays,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
react-redux,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
react-router-dom-v5-compat,js,Frameworks & Libraries,1.0,,soapbox-pub/soapbox
react-simple-pull-to-refresh,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
react-sparklines,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
react-sticky-box,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
react-swipeable-views,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
react-zoom-pan-pinch,js,Misc & Everything Else,1.0,,andotherstuff/universes-legacy
recma-nextjs-static-props,js,Misc & Everything Else,1.0,,cashubtc/docs.cashu.space
recon,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
redb,rust,Databases & Storage,1.0,,marmot-protocol/openmls-redb-storage
redis,py,Databases & Storage,1.0,,cashubtc/nutshell
redux,js,Frameworks & Libraries,1.0,,soapbox-pub/soapbox
redux-thunk,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
refinery,rust,Misc & Everything Else,1.0,,marmot-protocol/mdk
reflect-metadata,js,Misc & Everything Else,1.0,,cashubtc/orchard
rehype-mdx-title,js,Misc & Everything Else,1.0,,cashubtc/docs.cashu.space
rehype-sanitize,js,Misc & Everything Else,1.0,,soapbox-pub/ditto
replace-in-file,js,Misc & Everything Else,1.0,,cashubtc/cashu-ts
represent,py,Misc & Everything Else,1.0,,cashubtc/cashu-ui
requests,py,Misc & Everything Else,1.0,,cashubtc/cashu-ui
reselect,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
rimraf,js,Misc & Everything Else,1.0,,marmot-protocol/marmot-ts
rocksdb,rust,Databases & Storage,1.0,,andotherstuff/pensieve
rpassword,rust,Misc & Everything Else,1.0,,marmot-protocol/whitenoise-rs
rqrcode,ruby,Misc & Everything Else,1.0,,marmot-protocol/botburrow
rubocop-rails-omakase,ruby,Misc & Everything Else,1.0,,marmot-protocol/botburrow
rust_lib_whitenoise,dart,Misc & Everything Else,1.0,,marmot-protocol/whitenoise
sanitize-html,js,Misc & Everything Else,1.0,,marmot-protocol/whitenoise-web
sass,js,Frameworks & Libraries,1.0,,soapbox-pub/soapbox
sass-embedded,js,Misc & Everything Else,1.0,,marmot-protocol/marmot-web
scroll_to_index,dart,Misc & Everything Else,1.0,,marmot-protocol/whitenoise
selenium-webdriver,ruby,Misc & Everything Else,1.0,,marmot-protocol/botburrow
serde_bytes,rust,Frameworks & Libraries,1.0,,andotherstuff/binostr
serde_with,rust,Frameworks & Libraries,1.0,,cashubtc/cdk
shadcn,js,Frameworks & Libraries,1.0,,marmot-protocol/marmots-web-chat
share_plus,dart,Misc & Everything Else,1.0,,marmot-protocol/whitenoise
shiki,js,Misc & Everything Else,1.0,,cashubtc/docs.cashu.space
sinon,js,Misc & Everything Else,1.0,,soapbox-pub/nostrify
sled,rust,Databases & Storage,1.0,,marmot-protocol/openmls-sled-storage
slowapi,py,Misc & Everything Else,1.0,,cashubtc/nutshell
slugify,js,Misc & Everything Else,1.0,,soapbox-pub/ditto
smol-toml,js,Misc & Everything Else,1.0,,soapbox-pub/ditto
socks-proxy-agent,js,Misc & Everything Else,1.0,,cashubtc/orchard
socksio,py,Misc & Everything Else,1.0,,cashubtc/nutshell
solid_cable,ruby,Misc & Everything Else,1.0,,marmot-protocol/botburrow
solid_cache,ruby,Misc & Everything Else,1.0,,marmot-protocol/botburrow
solid_queue,ruby,Misc & Everything Else,1.0,,marmot-protocol/botburrow
sort-by,js,Misc & Everything Else,1.0,,cashubtc/npubcash-website
source-map-support,js,Misc & Everything Else,1.0,,cashubtc/orchard
sqlalchemy-aio,py,Frameworks & Libraries,1.0,,cashubtc/cashu-ui
sqlite3,ruby,Databases & Storage,1.0,,marmot-protocol/botburrow
stimulus-rails,ruby,Misc & Everything Else,1.0,,marmot-protocol/botburrow
streamdown,js,Misc & Everything Else,1.0,,soapbox-pub/shakespeare
stringz,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
strum,rust,Misc & Everything Else,1.0,,cashubtc/cdk
strum_macros,rust,Misc & Everything Else,1.0,,cashubtc/cdk
stylelint,js,Dev Environment & Tooling,1.0,,soapbox-pub/soapbox
stylelint-config-standard-scss,js,Dev Environment & Tooling,1.0,,soapbox-pub/soapbox
sweet_xml,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
swiper,js,Frameworks & Libraries,1.0,,soapbox-pub/soapbox
swoosh,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
tailwindcss-rails,ruby,Frameworks & Libraries,1.0,,marmot-protocol/botburrow
tailwindcss-safe-area,js,Frameworks & Libraries,1.0,,soapbox-pub/shakespeare
telemetry,elixir,Monitoring & Observability,1.0,,soapbox-pub/rebased
telemetry_metrics,elixir,Monitoring & Observability,1.0,,soapbox-pub/rebased
telemetry_poller,elixir,Monitoring & Observability,1.0,,soapbox-pub/rebased
tesla,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
testcontainers,rust,Misc & Everything Else,1.0,,andotherstuff/funnel
testcontainers-modules,rust,Misc & Everything Else,1.0,,andotherstuff/funnel
text-encoding-polyfill,js,Misc & Everything Else,1.0,,cashubtc/eNuts
three,js,Misc & Everything Else,1.0,,cashubtc/docs.cashu.space
thruster,ruby,Misc & Everything Else,1.0,,marmot-protocol/botburrow
thumbhash,dart,Misc & Everything Else,1.0,,marmot-protocol/whitenoise
timex,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
tomli,py,Misc & Everything Else,1.0,,cashubtc/cashu-ui
tonic-build,rust,Misc & Everything Else,1.0,,andotherstuff/nostr-rs-relay
tonic-prost,rust,Misc & Everything Else,1.0,,cashubtc/cdk
tonic-prost-build,rust,Misc & Everything Else,1.0,,cashubtc/cdk
trailing_format_plug,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
ts-loader,js,Misc & Everything Else,1.0,,cashubtc/orchard
tsdown,js,Misc & Everything Else,1.0,,cashubtc/coco
tslib,js,Dev Environment & Tooling,1.0,,cashubtc/orchard
tungstenite,rust,Misc & Everything Else,1.0,,andotherstuff/nostr-rs-relay
turbo,js,Dev Environment & Tooling,1.0,,soapbox-pub/nostrify
turbo-rails,ruby,Misc & Everything Else,1.0,,marmot-protocol/botburrow
turndown,js,Misc & Everything Else,1.0,,soapbox-pub/shakespeare
tw-animate-css,js,Misc & Everything Else,1.0,,marmot-protocol/marmots-web-chat
type-fest,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
typedoc-plugin-pages,js,Misc & Everything Else,1.0,,cashubtc/cashu-ts
typeorm,js,Databases & Storage,1.0,,cashubtc/orchard
types-protobuf,py,Misc & Everything Else,1.0,,cashubtc/nutshell
tzdata,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
tzinfo-data,ruby,Misc & Everything Else,1.0,,marmot-protocol/botburrow
ueberauth,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
underscore,js,Misc & Everything Else,1.0,,cashubtc/cashu.me
unicode-normalization,rust,Misc & Everything Else,1.0,,marmot-protocol/whitenoise-rs
unicode-width,rust,Misc & Everything Else,1.0,,marmot-protocol/wn-tui
uniffi,rust,Misc & Everything Else,1.0,,cashubtc/cdk
unique-names-generator,js,Misc & Everything Else,1.0,,marmot-protocol/marmots-web-chat
unique_names_generator,dart,Misc & Everything Else,1.0,,marmot-protocol/whitenoise
unist-util-visit,js,Misc & Everything Else,1.0,,cashubtc/docs.cashu.space
unplug,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
url_launcher,dart,Misc & Everything Else,1.0,,marmot-protocol/whitenoise
url_launcher_platform_interface,dart,Misc & Everything Else,1.0,,marmot-protocol/whitenoise
urllib3,py,Misc & Everything Else,1.0,,cashubtc/cashu-ui
use-stick-to-bottom,js,Misc & Everything Else,1.0,,soapbox-pub/shakespeare
utoipa,rust,Misc & Everything Else,1.0,,cashubtc/cdk
vite-jsconfig-paths,js,Misc & Everything Else,1.0,,cashubtc/cashu.me
vite-plugin-compile-time,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
vite-plugin-dts,js,Misc & Everything Else,1.0,,cashubtc/cashu-ts
vite-plugin-html,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
vite-plugin-static-copy,js,Misc & Everything Else,1.0,,soapbox-pub/soapbox
vitepress,js,Misc & Everything Else,1.0,,cashubtc/coco
vue-i18n,js,Misc & Everything Else,1.0,,cashubtc/cashu.me
vue-router,js,Misc & Everything Else,1.0,,cashubtc/cashu.me
vuepress,js,Misc & Everything Else,1.0,,marmot-protocol/marmot-web
web-console,ruby,Misc & Everything Else,1.0,,marmot-protocol/botburrow
web-time,rust,Misc & Everything Else,1.0,,cashubtc/cdk
web_push_encryption,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
webmock,ruby,Misc & Everything Else,1.0,,marmot-protocol/botburrow
webpki-roots,rust,Security & Privacy,1.0,,marmot-protocol/whitenoise-rs
websocket-client,py,Misc & Everything Else,1.0,,cashubtc/nutshell
websockets,py,Misc & Everything Else,1.0,,cashubtc/nutshell
websockex,elixir,Misc & Everything Else,1.0,,soapbox-pub/rebased
websql,js,Misc & Everything Else,1.0,,cashubtc/eNuts
wheel,py,Misc & Everything Else,1.0,,cashubtc/nutshell
which,rust,Misc & Everything Else,1.0,,marmot-protocol/wn-tui
whitenoise-macros,rust,Misc & Everything Else,1.0,,marmot-protocol/whitenoise-rs
widgetbook,dart,Misc & Everything Else,1.0,,marmot-protocol/whitenoise
widgetbook_annotation,dart,Misc & Everything Else,1.0,,marmot-protocol/whitenoise
widgetbook_generator,dart,Misc & Everything Else,1.0,,marmot-protocol/whitenoise
window.nostrdb.js,js,Misc & Everything Else,1.0,,marmot-protocol/marmots-web-chat
workbox-build,js,Misc & Everything Else,1.0,,cashubtc/cashu.me
workbox-cacheable-response,js,Misc & Everything Else,1.0,,cashubtc/cashu.me
workbox-core,js,Misc & Everything Else,1.0,,cashubtc/cashu.me
workbox-expiration,js,Misc & Everything Else,1.0,,cashubtc/cashu.me
workbox-precaching,js,Misc & Everything Else,1.0,,cashubtc/cashu.me
workbox-routing,js,Misc & Everything Else,1.0,,cashubtc/cashu.me
workbox-strategies,js,Misc & Everything Else,1.0,,cashubtc/cashu.me
workbox-window,js,Misc & Everything Else,1.0,,soapbox-pub/shakespeare
wrapt,py,Misc & Everything Else,1.0,,cashubtc/nutshell
zone.js,js,Misc & Everything Else,1.0,,cashubtc/orchard
zstandard,py,Misc & Everything Else,1.0,,cashubtc/nutshell
zstd,rust,Misc & Everything Else,1.0,,andotherstuff/binostr
